depth                number of cases      avg search cost      avg time in millis  
0                    1                    1.000000             0.000000            
1                    2                    4.000000             0.000000            
2                    4                    6.000000             0.000000            
3                    8                    8.500000             0.000000            
4                    16                   10.000000            0.000000            
5                    20                   13.000000            0.000000            
6                    39                   17.358974            0.000000            
7                    62                   24.193548            0.000016            
8                    116                  31.948276            0.000069            
9                    152                  48.973684            0.000059            
10                   286                  69.541958            0.000087            
11                   396                  107.598485           0.000139            
12                   748                  156.874332           0.000167            
13                   1024                 245.983398           0.000302            
14                   1893                 365.300581           0.000426            
15                   2512                 594.454220           0.000719            
16                   4485                 836.364548           0.001016            
17                   5638                 1434.618482          0.001786            
18                   9528                 1968.738560          0.002491            
19                   10878                3250.482166          0.004200            
20                   16993                4925.828635          0.006629            
21                   17110                7256.600351          0.010040            
22                   23952                11846.428524         0.017549            
23                   20224                17087.183594         0.026715            
24                   24047                25820.981619         0.044597            
25                   15578                35665.656567         0.067193            
26                   14560                51882.007555         0.114188            
27                   6274                 63715.739401         0.151182            
28                   3910                 82461.222762         0.222862            
29                   760                  107464.840789        0.350418            
30                   221                  121831.773756        0.443104            
31                   2                    148997.500000        0.632000     
